age,city,city_home,district,educ,encouraged,family_in_city,female,income,kms_to_home,length_residence,married,minority,more_at_home_village,num_calls_to_prior_residence,owns_home,owns_village_property,participates,plan_to_live,pol_active_village,political_efficacy,political_interest,recommend_live,reghelp,trust_city_gov,trust_nat_gov
22,Blueville,4,2,1,0,1,1,NA,183.1907105,20,1,0,3,0,1,0,0,40,0,1,1,1,1,2,1
28,Blueville,4,23,1,1,3,1,1000,64.92970873,21,1,0,3,4,1,0,0,40,0,1,1,0,0,3,2
37,Greenville,4,32,1,0,3,0,NA,18.70441031,7,1,0,3,0,1,0,0,40,0,2,1,1,0,1,1
22,Blueville,4,50,1,0,3,1,800,117.990869,7,1,0,4,14,0,0,0,60,0,2,1,1,1,1,4
32,Blueville,4,24,0,1,1,1,1000,129.7668634,10,1,0,4,14,0,1,0,40,0,1,1,1,0,1,3
42,Greenville,2,4,0,0,3,0,900,17.01767992,38,1,0,4,2,0,0,0,5,1,2,1,0,0,2,4
19,Greenville,4,11,0,1,3,1,NA,14.6994681,1,1,1,3,4,0,0,0,40,0,2,1,1,0,1,1
55,Blueville,3,20,0,0,1,1,NA,245.9115998,23,1,0,3,3,1,0,0,100,0,1,1,1,0,1,1
25,Greenville,4,70,0,1,0,1,900,23.33769751,22,0,1,1,0,1,0,0,70,0,2,1,1,1,2,4
25,Blueville,4,19,0,1,0,0,1500,192.5479874,28,1,1,3,5,1,1,0,60,0,1,1,1,1,2,2
21,Blueville,3,2,1,0,0,1,700,179.4081275,38,0,0,2,30,1,1,0,0,0,2,1,1,0,2,2
25,Blueville,4,19,0,1,3,0,900,35.85925871,23,1,0,4,35,1,0,0,65,0,2,2,0,1,1,4
25,Blueville,4,16,1,1,1,0,NA,83.89333592,38,1,0,3,30,1,0,0,100,0,1,1,1,1,1,1
34,Greenville,4,5,0,1,3,1,NA,16.00562108,23,1,0,4,2,0,0,0,40,0,1,1,1,1,2,1
22,Blueville,4,51,1,1,0,0,1000,107.0244131,8,0,1,3,3,1,0,0,50,0,1,1,1,1,2,2
32,Greenville,4,26,1,0,1,1,NA,21.25633075,6,1,0,3,7,1,0,0.021652979,45,1,2,2,1,0,1,1
30,Greenville,4,46,1,0,3,1,500,47.32080762,10,1,0,4,6,0,1,0.028229558,30,1,1,2,1,0,2,4
23,Greenville,4,69,0,1,1,1,NA,16.00576616,2,1,1,4,0,1,1,0.038031375,50,0,1,1,1,1,1,1
20,Blueville,4,61,1,1,0,0,800,30.46406362,27,0,0,1,5,1,0,0.062923303,60,0,1,1,1,0,2,4
